+AZIMUTH,0.25, 2.0160000000032596
-AZIMUTH,0.25, 3.077999999994063
+ELEVATION,0.25, 3.1089999999967404
-ELEVATION,0.25, 3.0780000000086147
+BOTH,0.25, 3.0780000000086147
-BOTH,0.25, 3.0940000000118744
+AZIMUTH,0.5, 3.077999999994063
-AZIMUTH,0.5, 3.0780000000086147
+ELEVATION,0.5, 3.077999999994063
-ELEVATION,0.5, 3.077999999994063
+BOTH,0.5, 3.0780000000086147
-BOTH,0.5, 3.0929999999934807
+AZIMUTH,0.75, 3.0939999999973224
-AZIMUTH,0.75, 3.0780000000086147
+ELEVATION,0.75, 4.14100000000326
-ELEVATION,0.75, 4.14100000000326
+BOTH,0.75, 4.1560000000026776
-BOTH,0.75, 4.172000000005937
+AZIMUTH,1.0, 4.156999999991967
-AZIMUTH,1.0, 3.0939999999973224
+ELEVATION,1.0, 4.125
-ELEVATION,1.0, 4.1560000000026776
+BOTH,1.0, 4.155999999988126
-BOTH,1.0, 4.157000000006519
+AZIMUTH,1.25, 3.0789999999979045
-AZIMUTH,1.25, 3.0780000000086147
+ELEVATION,1.25, 4.187000000005355
-ELEVATION,1.25, 4.155999999988126
+BOTH,1.25, 4.139999999999418
-BOTH,1.25, 4.14100000000326
+AZIMUTH,1.5, 4.157000000006519
-AZIMUTH,1.5, 3.0780000000086147
+ELEVATION,1.5, 5.202999999994063
-ELEVATION,1.5, 5.2189999999973224
+BOTH,1.5, 5.25
-BOTH,1.5, 4.172000000005937
+AZIMUTH,1.75, 3.110000000000582
-AZIMUTH,1.75, 3.0930000000080327
+ELEVATION,1.75, 5.1710000000020955
-ELEVATION,1.75, 5.23399999999674
+BOTH,1.75, 5.218000000008033
-BOTH,1.75, 5.219000000011874
+AZIMUTH,2.0, 4.14100000000326
-AZIMUTH,2.0, 3.0780000000086147
+ELEVATION,2.0, 5.202999999994063
-ELEVATION,2.0, 5.2189999999973224
+BOTH,2.0, 5.23399999999674
-BOTH,2.0, 5.23399999999674
+AZIMUTH,2.25, 3.0939999999973224
-AZIMUTH,2.25, 3.0940000000118744
+ELEVATION,2.25, 5.2189999999973224
-ELEVATION,2.25, 5.2189999999973224
+BOTH,2.25, 5.203000000008615
-BOTH,2.25, 5.2189999999973224
+AZIMUTH,2.5, 3.0939999999973224
-AZIMUTH,2.5, 4.14100000000326
+ELEVATION,2.5, 6.282000000006519
-ELEVATION,2.5, 5.219000000011874
+BOTH,2.5, 6.296999999991385
-BOTH,2.5, 5.2189999999973224
+AZIMUTH,3.0, 3.0939999999973224
-AZIMUTH,3.0, 5.219000000011874
+ELEVATION,3.0, 6.235000000000582
-ELEVATION,3.0, 6.281999999991967
+BOTH,3.0, 6.2810000000026776
-BOTH,3.0, 6.296999999991385
+AZIMUTH,4.0, 4.171999999991385
-AZIMUTH,4.0, 4.157000000006519
+ELEVATION,4.0, 7.39100000000326
-ELEVATION,4.0, 7.3439999999973224
+BOTH,4.0, 8.422000000005937
-BOTH,4.0, 7.327999999994063
+AZIMUTH,5.0, 4.187000000005355
-AZIMUTH,5.0, 4.1560000000026776
+ELEVATION,5.0, 8.452999999994063
-ELEVATION,5.0, 7.375
+BOTH,5.0, 8.437999999994645
-BOTH,5.0, 7.342999999993481
+AZIMUTH,6.0, 5.2189999999973224
-AZIMUTH,6.0, 5.2189999999973224
+ELEVATION,6.0, 9.48399999999674
-ELEVATION,6.0, 8.422000000005937
+BOTH,6.0, 9.48399999999674
-BOTH,6.0, 8.406000000002678
+AZIMUTH,7.0, 5.2189999999973224
-AZIMUTH,7.0, 6.2810000000026776
+ELEVATION,7.0, 9.514999999999418
-ELEVATION,7.0, 9.5
+BOTH,7.0, 9.531000000002678
-BOTH,7.0, 9.5
+AZIMUTH,8.0, 5.203000000008615
-AZIMUTH,8.0, 6.2960000000020955
+ELEVATION,8.0, 10.561999999990803
-ELEVATION,8.0, 10.562000000005355
+BOTH,8.0, 10.562000000005355
-BOTH,8.0, 10.578000000008615
+AZIMUTH,9.0, 6.2810000000026776
-AZIMUTH,9.0, 6.282000000006519
+ELEVATION,9.0, 11.593999999997322
-ELEVATION,9.0, 11.60899999999674
+BOTH,9.0, 11.640999999988708
-BOTH,9.0, 13.765999999988708
+AZIMUTH,10.0, 6.313000000009197
-AZIMUTH,10.0, 6.297000000005937
+ELEVATION,10.0, 12.671999999991385
-ELEVATION,10.0, 12.686999999990803
+BOTH,10.0, 12.702999999994063
-BOTH,10.0, 13.75
+AZIMUTH,15.0, 8.453999999997905
-AZIMUTH,15.0, 9.484000000011292
+ELEVATION,15.0, 18.077999999994063
-ELEVATION,15.0, 17.0
+BOTH,15.0, 16.984000000011292
-BOTH,15.0, 16.968999999997322
+AZIMUTH,20.0, 10.562000000005355
-AZIMUTH,20.0, 10.110000000000582
+ELEVATION,20.0, 22.360000000000582
-ELEVATION,20.0, 21.25
+BOTH,20.0, 22.281000000002678
-BOTH,20.0, 21.203000000008615
+AZIMUTH,25.0, 12.656000000002678
-AZIMUTH,25.0, 12.718999999997322
+ELEVATION,25.0, 26.562000000005355
-ELEVATION,25.0, 26.60899999999674
+BOTH,25.0, 26.64100000000326
-BOTH,25.0, 26.577999999994063
+AZIMUTH,30.0, 13.76600000000326
-AZIMUTH,30.0, 14.796999999991385
+ELEVATION,30.0, 31.984000000011292
-ELEVATION,30.0, 30.906000000002678
+BOTH,30.0, 33.01499999999942
-BOTH,30.0, 31.985000000000582
