"center_frequency_amplitude","center_frequency_amplitude_timestamp_before","center_frequency_amplitude_timestamp_after","peak_frequency","peak_amplitude","peak_timestamp_before","peak_timestamp_after"
"-63.67","2025-02-26T22:33:43.019237+00:00","2025-02-26T22:33:43.112577+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.112577+00:00","2025-02-26T22:33:43.174085+00:00"
"-63.67","2025-02-26T22:33:43.174085+00:00","2025-02-26T22:33:43.259544+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.259544+00:00","2025-02-26T22:33:43.319613+00:00"
"-63.67","2025-02-26T22:33:43.319613+00:00","2025-02-26T22:33:43.416338+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.416338+00:00","2025-02-26T22:33:43.475741+00:00"
"-63.67","2025-02-26T22:33:43.476749+00:00","2025-02-26T22:33:43.569613+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.569613+00:00","2025-02-26T22:33:43.629779+00:00"
"-63.67","2025-02-26T22:33:43.629779+00:00","2025-02-26T22:33:43.720295+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.720295+00:00","2025-02-26T22:33:43.780763+00:00"
"-63.67","2025-02-26T22:33:43.780763+00:00","2025-02-26T22:33:43.871871+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.871871+00:00","2025-02-26T22:33:43.938070+00:00"
"-63.67","2025-02-26T22:33:43.939237+00:00","2025-02-26T22:33:44.025840+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.025840+00:00","2025-02-26T22:33:44.079346+00:00"
"-63.67","2025-02-26T22:33:44.079346+00:00","2025-02-26T22:33:44.179367+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.179367+00:00","2025-02-26T22:33:44.240880+00:00"
"-63.67","2025-02-26T22:33:44.241404+00:00","2025-02-26T22:33:44.318036+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.318036+00:00","2025-02-26T22:33:44.378801+00:00"
"-63.67","2025-02-26T22:33:44.388813+00:00","2025-02-26T22:33:44.474485+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.474485+00:00","2025-02-26T22:33:44.536985+00:00"
"-63.67","2025-02-26T22:33:44.536985+00:00","2025-02-26T22:33:44.625140+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.625140+00:00","2025-02-26T22:33:44.685510+00:00"
"-63.67","2025-02-26T22:33:44.685510+00:00","2025-02-26T22:33:44.776104+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.776104+00:00","2025-02-26T22:33:44.836396+00:00"
"-63.67","2025-02-26T22:33:44.836396+00:00","2025-02-26T22:33:44.928729+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.928729+00:00","2025-02-26T22:33:44.986163+00:00"
"-63.67","2025-02-26T22:33:44.986163+00:00","2025-02-26T22:33:45.078423+00:00","8450000520.0","-63.5","2025-02-26T22:33:45.078423+00:00","2025-02-26T22:33:45.141380+00:00"
"-63.67","2025-02-26T22:33:45.141380+00:00","2025-02-26T22:33:45.228159+00:00","8450000520.0","-63.5","2025-02-26T22:33:45.228159+00:00","2025-02-26T22:33:45.287387+00:00"
"-63.67","2025-02-26T22:33:45.287459+00:00","2025-02-26T22:33:45.377384+00:00","8450000520.0","-63.5","2025-02-26T22:33:45.377384+00:00","2025-02-26T22:33:45.434907+00:00"
"-63.67","2025-02-26T22:33:45.434907+00:00","2025-02-26T22:33:45.523718+00:00","8450000520.0","-63.5","2025-02-26T22:33:45.523718+00:00","2025-02-26T22:33:45.590777+00:00"
"-63.67","2025-02-26T22:33:45.590891+00:00","2025-02-26T22:33:45.676955+00:00","8450000520.0","-63.5","2025-02-26T22:33:45.676955+00:00","2025-02-26T22:33:45.736803+00:00"
"-63.67","2025-02-26T22:33:45.736803+00:00","2025-02-26T22:33:45.827642+00:00","8450000520.0","-63.67","2025-02-26T22:33:45.827642+00:00","2025-02-26T22:33:45.895553+00:00"
"-63.67","2025-02-26T22:33:45.895553+00:00","2025-02-26T22:33:45.983521+00:00","8450000520.0","-63.5","2025-02-26T22:33:45.983521+00:00","2025-02-26T22:33:46.034765+00:00"
"-63.67","2025-02-26T22:33:46.034765+00:00","2025-02-26T22:33:46.131434+00:00","8450000520.0","-63.5","2025-02-26T22:33:46.131434+00:00","2025-02-26T22:33:46.193281+00:00"
"-63.67","2025-02-26T22:33:46.194369+00:00","2025-02-26T22:33:46.279566+00:00","8450000520.0","-63.5","2025-02-26T22:33:46.279566+00:00","2025-02-26T22:33:46.339579+00:00"
"-63.67","2025-02-26T22:33:46.339579+00:00","2025-02-26T22:33:46.432947+00:00","8450000520.0","-63.5","2025-02-26T22:33:46.432947+00:00","2025-02-26T22:33:46.485546+00:00"
"-63.67","2025-02-26T22:33:46.485546+00:00","2025-02-26T22:33:46.586368+00:00","8450000520.0","-63.5","2025-02-26T22:33:46.586368+00:00","2025-02-26T22:33:46.648678+00:00"
"-63.67","2025-02-26T22:33:46.648678+00:00","2025-02-26T22:33:46.731861+00:00","8450000520.0","-63.5","2025-02-26T22:33:46.731861+00:00","2025-02-26T22:33:46.792655+00:00"
"-63.67","2025-02-26T22:33:46.792655+00:00","2025-02-26T22:33:46.896278+00:00","8450000520.0","-63.5","2025-02-26T22:33:46.896278+00:00","2025-02-26T22:33:46.955384+00:00"
"-63.67","2025-02-26T22:33:46.955384+00:00","2025-02-26T22:33:47.045548+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.045548+00:00","2025-02-26T22:33:47.108343+00:00"
"-63.67","2025-02-26T22:33:47.108343+00:00","2025-02-26T22:33:47.195840+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.195840+00:00","2025-02-26T22:33:47.266163+00:00"
"-63.67","2025-02-26T22:33:47.266163+00:00","2025-02-26T22:33:47.356230+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.356230+00:00","2025-02-26T22:33:47.417799+00:00"
"-63.67","2025-02-26T22:33:47.418302+00:00","2025-02-26T22:33:47.496688+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.496688+00:00","2025-02-26T22:33:47.556589+00:00"
"-63.67","2025-02-26T22:33:47.556589+00:00","2025-02-26T22:33:47.657067+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.657067+00:00","2025-02-26T22:33:47.721851+00:00"
"-63.67","2025-02-26T22:33:47.722959+00:00","2025-02-26T22:33:47.814713+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.814713+00:00","2025-02-26T22:33:47.885496+00:00"
"-63.67","2025-02-26T22:33:47.886639+00:00","2025-02-26T22:33:47.988618+00:00","8450000520.0","-63.5","2025-02-26T22:33:47.988618+00:00","2025-02-26T22:33:48.047896+00:00"
"-63.67","2025-02-26T22:33:48.047896+00:00","2025-02-26T22:33:48.138299+00:00","8450000520.0","-63.5","2025-02-26T22:33:48.138299+00:00","2025-02-26T22:33:48.198102+00:00"
"-63.67","2025-02-26T22:33:48.198102+00:00","2025-02-26T22:33:48.291044+00:00","8450000520.0","-63.5","2025-02-26T22:33:48.291044+00:00","2025-02-26T22:33:48.346363+00:00"
"-63.67","2025-02-26T22:33:48.346363+00:00","2025-02-26T22:33:48.437553+00:00","8450000520.0","-63.5","2025-02-26T22:33:48.437553+00:00","2025-02-26T22:33:48.503538+00:00"
"-63.67","2025-02-26T22:33:48.504538+00:00","2025-02-26T22:33:48.589935+00:00","8450000520.0","-63.5","2025-02-26T22:33:48.589935+00:00","2025-02-26T22:33:48.649730+00:00"
"-63.67","2025-02-26T22:33:48.649730+00:00","2025-02-26T22:33:48.740470+00:00","8450000520.0","-63.5","2025-02-26T22:33:48.740470+00:00","2025-02-26T22:33:48.808393+00:00"
"-63.67","2025-02-26T22:33:48.809464+00:00","2025-02-26T22:33:48.904690+00:00","8450000520.0","-63.5","2025-02-26T22:33:48.904690+00:00","2025-02-26T22:33:48.966630+00:00"
"-63.67","2025-02-26T22:33:48.966630+00:00","2025-02-26T22:33:49.059690+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.059690+00:00","2025-02-26T22:33:49.117508+00:00"
"-63.67","2025-02-26T22:33:49.117508+00:00","2025-02-26T22:33:49.218376+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.218376+00:00","2025-02-26T22:33:49.279210+00:00"
"-63.67","2025-02-26T22:33:49.279210+00:00","2025-02-26T22:33:49.364722+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.364722+00:00","2025-02-26T22:33:49.433252+00:00"
"-63.67","2025-02-26T22:33:49.433252+00:00","2025-02-26T22:33:49.527452+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.527452+00:00","2025-02-26T22:33:49.589287+00:00"
"-63.67","2025-02-26T22:33:49.589287+00:00","2025-02-26T22:33:49.675101+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.675101+00:00","2025-02-26T22:33:49.734309+00:00"
"-63.67","2025-02-26T22:33:49.734309+00:00","2025-02-26T22:33:49.826517+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.826517+00:00","2025-02-26T22:33:49.902892+00:00"
"-63.67","2025-02-26T22:33:49.903913+00:00","2025-02-26T22:33:49.994385+00:00","8450000520.0","-63.5","2025-02-26T22:33:49.994385+00:00","2025-02-26T22:33:50.054467+00:00"
"-63.67","2025-02-26T22:33:50.054467+00:00","2025-02-26T22:33:50.144928+00:00","8450000520.0","-63.5","2025-02-26T22:33:50.144928+00:00","2025-02-26T22:33:50.205544+00:00"
"-63.67","2025-02-26T22:33:50.205544+00:00","2025-02-26T22:33:50.296124+00:00","8450000520.0","-63.5","2025-02-26T22:33:50.296124+00:00","2025-02-26T22:33:50.362612+00:00"
"-63.67","2025-02-26T22:33:50.362612+00:00","2025-02-26T22:33:50.448736+00:00","8450000520.0","-63.5","2025-02-26T22:33:50.448736+00:00","2025-02-26T22:33:50.509315+00:00"
"-63.67","2025-02-26T22:33:50.509315+00:00","2025-02-26T22:33:50.613100+00:00","8450000520.0","-63.5","2025-02-26T22:33:50.613100+00:00","2025-02-26T22:33:50.675745+00:00"
"-63.67","2025-02-26T22:33:50.675745+00:00","2025-02-26T22:33:50.761616+00:00","8450000520.0","-63.5","2025-02-26T22:33:50.761616+00:00","2025-02-26T22:33:50.828075+00:00"
"-63.67","2025-02-26T22:33:50.828075+00:00","2025-02-26T22:33:50.916590+00:00","8450000520.0","-63.5","2025-02-26T22:33:50.916590+00:00","2025-02-26T22:33:50.974454+00:00"
"-63.67","2025-02-26T22:33:50.974454+00:00","2025-02-26T22:33:51.064396+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.064396+00:00","2025-02-26T22:33:51.124557+00:00"
"-63.67","2025-02-26T22:33:51.124557+00:00","2025-02-26T22:33:51.214758+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.214758+00:00","2025-02-26T22:33:51.275031+00:00"
"-63.67","2025-02-26T22:33:51.275031+00:00","2025-02-26T22:33:51.365606+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.365606+00:00","2025-02-26T22:33:51.426773+00:00"
"-63.67","2025-02-26T22:33:51.426773+00:00","2025-02-26T22:33:51.507755+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.507755+00:00","2025-02-26T22:33:51.567791+00:00"
"-63.67","2025-02-26T22:33:51.567791+00:00","2025-02-26T22:33:51.667960+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.667960+00:00","2025-02-26T22:33:51.730216+00:00"
"-63.67","2025-02-26T22:33:51.730748+00:00","2025-02-26T22:33:51.815442+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.815442+00:00","2025-02-26T22:33:51.875271+00:00"
"-63.67","2025-02-26T22:33:51.875271+00:00","2025-02-26T22:33:51.967614+00:00","8450000520.0","-63.5","2025-02-26T22:33:51.967614+00:00","2025-02-26T22:33:52.019959+00:00"
"-63.67","2025-02-26T22:33:52.029057+00:00","2025-02-26T22:33:52.119954+00:00","8450000520.0","-63.5","2025-02-26T22:33:52.119954+00:00","2025-02-26T22:33:52.180641+00:00"
"-63.67","2025-02-26T22:33:52.180641+00:00","2025-02-26T22:33:52.281255+00:00","8450000520.0","-63.5","2025-02-26T22:33:52.281255+00:00","2025-02-26T22:33:52.341736+00:00"
